prodcode,bb,ace,arb,arnie,mra,sglti,loop
"3509",,1,,,,,
"58871",,1,,,,,
"50402",,1,,,,,
"69192",,1,,,,,
"11965",,1,,,,,
"28820",,1,,,,,
"71562",,1,,,,,
"68192",,1,,,,,
"57944",,1,,,,,
"58965",,1,,,,,
"23478",,1,,,,,
"66060",,1,,,,,
"5047",,1,,,,,
"41743",,1,,,,,
"1520",,1,,,,,
"71277",,1,,,,,
"24482",,1,,,,,
"16701",,1,,,,,
"81148",,1,,,,,
"65936",,1,,,,,
"62564",,1,,,,,
"72038",,1,,,,,
"31810",,1,,,,,
"27890",,1,,,,,
"43411",,1,,,,,
"77402",,1,,,,,
"34698",,1,,,,,
"32560",,1,,,,,
"27871",,1,,,,,
"21162",,1,,,,,
"1143",,1,,,,,
"77316",,1,,,,,
"52293",,1,,,,,
"6364",,1,,,,,
"63322",,1,,,,,
"76486",,1,,,,,
"88765",,1,,,,,
"76128",,1,,,,,
"60010",,1,,,,,
"39421",,1,,,,,
"57864",,1,,,,,
"66669",,1,,,,,
"52427",,,1,,,,
"74057",,,1,,,,
"66958",,,1,,,,
"25382",,,1,,,,
"35096",,,1,,,,
"18200",,,1,,,,
"59903",,,1,,,,
"82271",,,1,,,,
"10316",,,1,,,,
"35481",,,1,,,,
"81768",,,1,,,,
"75407",,,1,,,,
"80163",,,1,,,,
"2971",,,1,,,,
"55017",,,1,,,,
"65094",,,1,,,,
"60597",,,1,,,,
"86559",,,1,,,,
"57026",,,1,,,,
"63411",,,1,,,,
"66551",,,1,,,,
"9196",,,1,,,,
"81772",,,1,,,,
"58967",,,1,,,,
"16371",,,1,,,,
"4818",,,1,,,,
"59086",,,1,,,,
"56606",,,1,,,,
"35173",,,1,,,,
"14870",,,1,,,,
"70431",,,1,,,,
"84354",,,1,,,,
"82378",,,1,,,,
"575",,,1,,,,
"49588",,,1,,,,
"55296",,,1,,,,
"12836",,,1,,,,
"14983",,,1,,,,
"68751",,,1,,,,
"52658",,,1,,,,
"6351",,,1,,,,
"71682",,,1,,,,
"59448",,,1,,,,
"60007",,,1,,,,
"24632",,,1,,,,
"84058",,,1,,,,
"87675",,,1,,,,
"66205",,,1,,,,
"54843",,,1,,,,
"41232",,,1,,,,
"18202",,,1,,,,
"35343",,,1,,,,
"11448",,,1,,,,
"35380",,,1,,,,
"40639",,,1,,,,
"31160",,,1,,,,
"5723",,,1,,,,
"24359",,,1,,,,
"71080",,,1,,,,
"74243",,,1,,,,
"48398",,,1,,,,
"62035",,,1,,,,
"47006",,,1,,,,
"88509",,,1,,,,
"68647",,,1,,,,
"3222",,,1,,,,
"43322",,,1,,,,
"82369",,,1,,,,
"14965",,,1,,,,
"65228",,,1,,,,
"51368",,,1,,,,
"66997",,,1,,,,
"52858",,,1,,,,
"74215",,,1,,,,
"76119",,,1,,,,
"76840",,,1,,,,
"46715",,,1,,,,
"51117",,,1,,,,
"87580",,,1,,,,
"68718",,,1,,,,
"4226",,,1,,,,
"13821",,,1,,,,
"39199",,,1,,,,
"4741",,,1,,,,
"39944",,,1,,,,
"59351",,,1,,,,
"29634",,,1,,,,
"70955",,,1,,,,
"16161",,,1,,,,
"67664",,,1,,,,
"52659",,,1,,,,
"54726",,,1,,,,
"71096",,,1,,,,
"74013",,,1,,,,
"79467",,,1,,,,
"6217",,,1,,,,
"1293",,,1,,,,
"68948",,,1,,,,
"55187",,,1,,,,
"40316",,,1,,,,
"78737",,,1,,,,
"6518",,,1,,,,
"79428",,,1,,,,
"69858",,,1,,,,
"61754",,,1,,,,
"58108",,,1,,,,
"55358",,,1,,,,
"69667",,,1,,,,
"67663",,,1,,,,
"71028",,,1,,,,
"71748",,,1,,,,
"67929",,,1,,,,
"6939",,,1,,,,
"63337",,,1,,,,
"11251",,,1,,,,
"75418",,,1,,,,
"7338",,,1,,,,
"88378",,,1,,,,
"63890",,,1,,,,
"13123",,,1,,,,
"58201",,,1,,,,
"38889",,,1,,,,
"55160",,,1,,,,
"72000",,,1,,,,
"31072",,,1,,,,
"11469",,,1,,,,
"57028",,,1,,,,
"53755",,,1,,,,
"7043",,,1,,,,
"79322",,,1,,,,
"54735",,,1,,,,
"70765",,,1,,,,
"55718",,,1,,,,
"52208",,,1,,,,
"83763",,,1,,,,
"63918",,,1,,,,
"64888",,,1,,,,
"531",,,1,,,,
"39786",,,1,,,,
"82387",,,1,,,,
"11348",,,1,,,,
"84202",,,1,,,,
"70251",,,1,,,,
"38459",,,1,,,,
"80833",,,1,,,,
"65065",,,1,,,,
"18910",,,1,,,,
"51897",,,1,,,,
"35329",,,1,,,,
"81247",,,1,,,,
"60076",,,1,,,,
"81603",,,1,,,,
"35189",,,1,,,,
"82478",,,1,,,,
"70754",,,1,,,,
"64359",,,1,,,,
"65479",,,1,,,,
"59802",,,1,,,,
"81601",,,1,,,,
"78358",,,1,,,,
"80995",,,1,,,,
"56970",,,1,,,,
"71910",,,1,,,,
"63385",,,1,,,,
"35317",,,1,,,,
"46687",,,1,,,,
"14738",,,1,,,,
"23456",,,1,,,,
"59750",,,1,,,,
"59340",,,1,,,,
"77196",,,1,,,,
"24268",,,1,,,,
"14283",,,1,,,,
"35304",,,1,,,,
"56975",,,1,,,,
"37573",,,1,,,,
"6285",,,1,,,,
"78671",,,1,,,,
"59393",,,1,,,,
"52189",,,1,,,,
"81238",,,1,,,,
"88296",,,1,,,,
"17545",,,1,,,,
"18903",,,1,,,,
"67902",,,1,,,,
"51647",,,1,,,,
"21423",,,1,,,,
"66261",,,1,,,,
"87679",,,1,,,,
"11526",,,1,,,,
"14943",,,1,,,,
"35196",,,1,,,,
"40668",,,1,,,,
"77408",,,1,,,,
"54404",,,1,,,,
"70325",,,1,,,,
"17686",,,1,,,,
"5013",,,1,,,,
"71215",,,1,,,,
"59029",,,1,,,,
"80841",,,1,,,,
"44778",,,1,,,,
"51186",,,1,,,,
"40711",,,1,,,,
"70805",,,1,,,,
"73813",,,1,,,,
"43915",,,1,,,,
"54057",,,1,,,,
"76209",,,1,,,,
"38395",,,1,,,,
"9745",,,1,,,,
"87593",,,1,,,,
"63717",,,1,,,,
"76121",,,1,,,,
"59271",,,1,,,,
"54326",,,1,,,,
"77443",,,1,,,,
"60780",,,1,,,,
"77641",,,1,,,,
"4540",,,1,,,,
"69802",,,1,,,,
"76797",,,1,,,,
"70455",,,1,,,,
"39984",,,1,,,,
"72215",,,1,,,,
"11864",,,1,,,,
"11252",,,1,,,,
"61781",,,1,,,,
"520",,,1,,,,
"81340",,,1,,,,
"82343",,,1,,,,
"47573",,,1,,,,
"37747",,,1,,,,
"41203",,,1,,,,
"62376",,,1,,,,
"39021",,,1,,,,
"624",,,1,,,,
"79241",,,1,,,,
"82424",,,1,,,,
"12874",,,1,,,,
